Card,Month,Year,Catchment name,Fragment number,Fragment name,Catch No,Time,Locality,Observer,Altitude,Distance,Organisation
16819,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1500,Hororata River tributary,,148,67,docc
16820,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1300,Hororata River tributary, ,148,66,docc
16821,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1400,Hororata River tributary,,150,63,docc
16822,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1600,Hororata River tributary,,160,68,docc
16823,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1530,Unnamed pond,,150,68,docc
16824,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1330,Hororata River tributary,,155,67,docc
16825,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1200,Hororata River tributary,,150,67,docc
16826,9,2002,Selwyn River,1491038,Hororata River tributary 4,680.04,1130,Hororata River tributary,,148,66,docc
16827,9,2002,Selwyn River,1491040,Hororata River tributary 6,680.04,,Unnamed pond,,158,70,docc
17129,5,2003,Selwyn River,1491040,Hororata River tributary 6,680.04,1000,Hororata River tributary,,165,72,docc
17130,5,2003,Selwyn River,1491040,Hororata River tributary 6,680.04,1010,Hororata River tributary, ,165,72,docc
17134,5,2003,Selwyn River,1491041,Hororata River 1,680.04,1330,Hororata River,,175,74,docc
17140,5,2003,Selwyn River,1491057,Coalgate water race,680,951,Selwyn River tributary,,140,63,docc
17142,5,2003,Selwyn River,1491034,Selwyn River tributary 4,680.04,1115,Hororata River,,120,58,docc
17143,5,2003,Selwyn River,1491056,Selwyn water race,680.04,1200,Hororata River tributary, ,170,70,docc
17144,5,2003,Selwyn River,1491039,Hororata River tributary 5,680.04,1215,Hororata River tributary,,155,69,docc
17145,5,2003,Selwyn River,1491036,Hororata River tributary 2,680.04,1345,Hororata River,,140,65,docc
17146,6,2003,Selwyn River,1491059,Wairiri Stream,680.07,1030,Hall Stream tributary,,300,89,docc
17147,6,2003,Selwyn River,1491059,Wairiri Stream,680.07,1145,Wairiri Stream tributary,,295,89,docc
17148,6,2003,Selwyn River,1491060,Glendore Stream,680.08,1400,Unnamed pond Steventon,,330,89,docc
17149,6,2003,Selwyn River,1491060,Glendore Stream,680.08,1500,Glendore Stream tributary,,320,89,docc
17150,6,2003,Selwyn River,1491060,Glendore Stream,680.08,1510,Unnamed pond Cleathings Valley,,320,88,docc
17181,7,1997,Ashley River,1491002,Taranaki Stream tributary wetland (pre Pegasus town),662,,Unnamed wetland,,2,3,niwa
17282,6,2003,Selwyn River,1491040,Hororata River tributary 6,680.04,1300,Hororata River tributary, ,165,72,docc
17283,6,2003,Selwyn River,1491040,Hororata River tributary 6,680.04,1315,Hororata River tributary,,165,72,docc
19515,3,2004,Waitaki River,1491130,Waikakahi Stream,711.01, ,Unnamed pond, ,80,25,docc
19519,3,2004,Selwyn River,1491056,Selwyn water race,680.04,,Unnamed pond,,190,79,docc
19686,2,2001,Harts Creek,1491064,Ellesmere stockwater race and drainage network,682,1100,Harts Creek tributary, ,35,19,crc
20824,1,2003,Waitaki River,1491134,Waitaki River tributary wetland 1,711,1000,Unnamed wetland,,15,6,niwa
20901,6,2003,Selwyn River,1491057,Coalgate water race,680,945,Selwyn River oxbow,,135,61,docc
20902,6,2003,Selwyn River,1491036,Hororata River tributary 2,680.04,1100,Hororata River tributary,,140,64,docc
20903,6,2003,Selwyn River,1491036,Hororata River tributary 2,680.04,1200,Hororata River tributary,,140,64,docc
20905,6,2003,Selwyn River,1491035,Hororata River tributary 1,680.04,1245,Hororata River,,135,62,docc
20913,5,2004,Selwyn River,1491056,Selwyn water race,680.04,1000,Unnamed water race Thwaites Road, ,205,79,docc
20916,5,2004,Selwyn River,1491056,Selwyn water race,680.04,1100,Unnamed water race Struie Road, ,195,73,docc
20917,5,2004,Selwyn River,1491056,Selwyn water race,680.04,1110,Unnamed water race Struie Road, ,180,72,docc
20920,5,2004,Selwyn River,1491057,Coalgate water race,680,1025,Unnamed water race Hawkins Road,,145,64,docc
20921,5,2004,Selwyn River,1491057,Coalgate water race,680,1050,Unnamed water race Warren Road,,145,63,docc
20945,8,2004,Lake Ellesmere,1491039,Hororata River tributary 5,683,1125,Unnamed water race Dunsandel Road, ,155,51,docc
20946,8,2004,Lake Ellesmere,1491039,Hororata River tributary 5,683,1100,Unnamed water race Dunsandel Road,,155,51,docc
20947,8,2004,Lake Ellesmere,1491039,Hororata River tributary 5,683,1135,Unnamed water race Dunsandel Road, ,150,55,docc
20948,8,2004,Lake Ellesmere,1491039,Hororata River tributary 5,683,1148,Unnamed water race Wrights Road, ,135,53,docc
22554,5,2006,Selwyn River,1491045,Blacks Stream,680.05,1154,Blacks Stream,,245,84,docc
22961,3,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,1314,Waianiwaniwa River,,265,92,docc
23626,10,2006,Pareora River,1491103,Pareora River tributary 3,701,day,Pareora River tributary,,55,9,doco
23707,3,2007,Selwyn River,1491054,Waianiwaniwa River tributary 7,680.05,1230,Waianiwaniwa River tributary, ,255,91,docn
23708,4,2007,Selwyn River,1491050,Waianiwaniwa River tributary 4,680.05,1000,Oyster Gully,,240,87,docc
23709,4,2007,Selwyn River,1491051,Waianiwaniwa River tributary 5,680.05,1027,Oyster Gully tributary, ,235,87,docc
23710,4,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,1101,Waianiwaniwa River tributary,,250,88,docc
23711,4,2007,Selwyn River,1491047,Waianiwaniwa River,680.05,1140,Waianiwaniwa River, ,295,95,docc
24871,5,2003,Waitaki River,1491134,Waitaki River tributary wetland 1,711,1110,Unnamed pond,,15,6,doco
26303,3,2005,Waimakariri River,1491021,Mounseys Stream,664.063,1400,Mounseys Stream, ,308,65,oas
26304,3,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,,Mounseys Stream tributary,,310,65,oas
26305,3,2005,Waimakariri River,1491020,Mounseys Stream tributary 8,664.063,,Mounseys Stream tributary,,310,64,oas
26306,3,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1420,Mounseys Stream tributary,,310,65,oas
26307,3,2005,Waimakariri River,1491020,Mounseys Stream tributary 8,664.063,,Mounseys Stream tributary,,308,64,oas
26308,3,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1430,Mounseys Stream tributary,,310,65,oas
26309,3,2005,Waimakariri River,1491021,Mounseys Stream,664.063, ,Mounseys Stream tributary, ,305,64,oas
26310,3,2005,Waimakariri River,1491017,Mounseys Stream tributary 5,664.063,1430,Mounseys Stream tributary, ,310,64,oas
26311,3,2005,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1420,Mounseys Stream wetland,,310,64,oas
26313,10,2004,Waimakariri River,1491007,Cust River tributary,664.044, ,Cust River tributary, ,240,53,docc
26320,10,2004,Selwyn River,1491048,Waianiwaniwa River tributary 2,680.05,1016,Waianiwaniwa River tributary,,235,84,docc
26321,10,2004,Selwyn River,1491047,Waianiwaniwa River,680.05,944,Waianiwaniwa River,,235,84,docc
26322,10,2004,Selwyn River,1491046,Waianiwaniwa River tributary 1,680.05,1035,Waianiwaniwa River tributary,,230,85,docc
26355,10,2004,Selwyn River,1491046,Waianiwaniwa River tributary 1,680.05,1138,Waianiwaniwa River, ,220,82,docc
26356,10,2004,Selwyn River,1491045,Blacks Stream,680.05,1314,Blacks Stream wetland, ,255,86,docc
26357,10,2004,Selwyn River,1491045,Blacks Stream,680.05,1330,Blacks Stream, ,255,85,docc
26389,2,2003,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,1111,Mounseys Stream tributary,,310,65,oas
26406,10,2004,Hinds River,1491088,North Branch Hinds River,691.01, ,North Branch Hinds River, ,265,43,docc
26407,10,2004,Hinds River,1491088,North Branch Hinds River,691.01, ,North Branch Hinds River, ,265,43,docc
26410,2,2002,Ashburton River,1491068,Ashburton River tributary drain,688,,Ashburton River tributary,,55,11,doch
26545,10,2005,Waitaki River,1491135,Waitaki River tributary wetland 2,711,night,Unnamed wetland,,25,8,doco
26546,10,2005,Waitaki River,1491135,Waitaki River tributary wetland 2,711,night,Unnamed wetland,,25,8,doco
26643,10,2005,Waitaki River,1491135,Waitaki River tributary wetland 2,711,,Unnamed pond,,15,8,doco
26647,10,2005,Waitaki River,1491136,Waitaki River tributary wetland 3,711, ,Unnamed wetland, ,25,9,doco
26649,10,2005,Waitaki River,1491136,Waitaki River tributary wetland 3,711, ,Unnamed pond, ,25,9,doco
26650,10,2005,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Unnamed pond,,25,9,doco
26651,10,2005,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Unnamed pond,,25,9,doco
26652,10,2005,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Unnamed pond,,25,9,doco
26657,10,2005,Waitaki River,1491137,Waitaki River tributary wetland 4,711, ,Unnamed pond, ,35,10,doco
26658,10,2005,Waitaki River,1491137,Waitaki River tributary wetland 4,711,,Waitaki River tributary,,35,10,doco
26671,3,2006,Waitaki River,1491135,Waitaki River tributary wetland 2,711,,Welcome Creek tributary,,25,8,doco
26672,3,2006,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Welcome Creek tributary,,25,9,doco
26673,3,2006,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Unnamed pond,,25,9,doco
26674,3,2006,Waitaki River,1491136,Waitaki River tributary wetland 3,711,,Waitaki River tributary,,25,9,doco
26675,3,2006,Waitaki River,1491135,Waitaki River tributary wetland 2,711,,Unnamed pond,,25,8,doco
26676,3,2006,Waitaki River,1491135,Waitaki River tributary wetland 2,711,,Unnamed pond,,25,8,doco
27513,9,2019,Pareora River,1491103,Pareora River tributary 3,701,1000,Pareora River, ,40,9,docc
27516,8,2019,Pareora River,1491142,Pareora River tributary 4,702,1000,Pareora River tributary, ,37,7,docc
27536,8,2018,Hinds Drains,1491141,Twenty-One Drain,692,930,Farm Drain tributary of Dobsons Drain, , , ,docc
27538,8,2018,Hinds Drains,1491141,Twenty-One Drain,692,1030,Dobsons Drain tributary, ,19,0,docc
27539,8,2018,Hinds Drains,1491093,Unnamed wetland Wairuna,692,1200,Dobsons Drain tribuatary, ,14,2,docc
27585,9,2008,Waimakariri River,1491026,Mounseys Stream tributary 13,664.063,900,Mounseys Stream tributary,,308,65,docc
28361,6,2006,Harts Creek,1491065,Ellesmere drainage network,682,1102,Harts Creek tributary, ,5,10,docc
28415,4,2007,Selwyn River,1491044,Nelsons Road Water Race,680.04,1200,Unnamed water race,,320,93,docc
28416,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1100,Unnamed water race,,175,72,docc
28417,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1115,Unnamed water race, ,170,73,docc
28418,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1400,Unnamed water race,,195,79,docc
28419,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1425,Unnamed water race,,185,78,docc
28420,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1450,Unnamed water race,,170,70,docc
28501,11,2006,Waitaki River,1491137,Waitaki River tributary wetland 4,711,day,Unnamed pond,,35,10,doco
28503,11,2006,Waitaki River,1491137,Waitaki River tributary wetland 4,711,day,Unnamed pond,,35,10,doco
29036,4,2007,Selwyn River,1491038,Hororata River tributary 4,680.04,1100,Hororata River tributary, ,150,67,docc
29037,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1135,Unnamed water race, ,170,70,docc
29038,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1150,Unnamed water race, ,180,72,docc
29042,6,2007,Selwyn River,1491056,Selwyn water race,680.04,1435,Unnamed water race, ,185,78,docc
29062,4,2007,Selwyn River,1491059,Wairiri Stream,680.07,1350,Wairiri Stream,,265,82,docc
29066,4,2007,Selwyn River,1491056,Selwyn water race,680.04,1500,Hororata Racecource pond, ,190,79,docc
29078,4,2007,Selwyn River,1491040,Hororata River tributary 6,680.04, ,Unnamed pond, ,155,70,docc
29402,7,2006,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05,night,Waianiwaniwa River tributary,,250,88,uoc
29403,2,2007,Selwyn River,1491052,Waianiwaniwa River tributary 6,680.05, ,Waianiwaniwa River tributary, ,290,91,uoc
29862,1,2009,Waimakariri River,1491021,Mounseys Stream,664.063,10.3,Mounseys Stream,,305,64,doc
30044,8,2008,Selwyn River,1491032,Selwyn River tributary 2,680,1400,Selwyn River, ,52,38,docc
30215,11,2004,Longbeach,1491067,Unnamed stock water race Lower Beach Road,690,day,Unnamed water race Lower Beach Rd,,22,1,inic
30216,11,2004,Longbeach,1491067,Unnamed stock water race Lower Beach Road,690,day,Unnamed water race Lower Beach Rd,,25,2,inic
30217,11,2004,Longbeach,1491067,Unnamed stock water race Lower Beach Road,690,day,Unnamed water race Lower Beach Rd,,25,2,inic
30218,11,2004,Longbeach,1491067,Unnamed stock water race Lower Beach Road,690,day,Unnamed water race Lower Beach Rd,,25,1,inic
30219,11,2004,Waihao River,1491122,Buchanans Creek,709.011,day,Buchanans Creek tributary,,8,5,inic
30220,5,2005,Waihao River,1491122,Buchanans Creek,709.011,night,Buchanans Creek,,8,7,inic
30221,11,2004,Waihao River,1491122,Buchanans Creek,709.011,day,Buchanans Creek,,8,6,inic
30222,5,2005,Waihao River,1491122,Buchanans Creek,709.011,night,Buchanans Creek,,8,6,inic
30223,5,2005,Waihao River,1491122,Buchanans Creek,709.011,night,Buchanans Creek,,8,6,inic
30224,5,2005,Waihao River,1491122,Buchanans Creek,709.011,night,Buchanans Creek,,8,6,inic
30225,6,2006,Longbeach,1491080,Unnamed stream Eiffleton,690,day,Unnamed water race Eiffelton,,55,11,inic
30227,11,2004,Longbeach,1491080,Unnamed stream Eiffleton,690,day,Unnamed water race Surveyors Rd,,45,9,inic
30228,6,2006,Longbeach,1491079,Unnamed water race Longbeach Road,690, ,Unnamed water race Surveyors Rd, ,47,9,inic
30229,6,2006,Longbeach,1491079,Unnamed water race Longbeach Road,690, ,Unnamed wetland Eiffelton, ,47,9,inic
30230,5,2005,Longbeach,1491079,Unnamed water race Longbeach Road,690,night,Unnamed water race Surveyors Rd,,47,9,inic
30231,11,2004,Longbeach,1491079,Unnamed water race Longbeach Road,690,day,Unnamed water race Surveyors Rd,,47,9,inic
30232,5,2005,Longbeach,1491079,Unnamed water race Longbeach Road,690,night,Unnamed water race Surveyors Rd,,47,8,inic
30233,5,2005,Longbeach,1491079,Unnamed water race Longbeach Road,690,night,Unnamed water race Longbeach Rd,,47,8,inic
30234,11,2004,Longbeach,1491079,Unnamed water race Longbeach Road,690,day,Unnamed water race Longbeach Rd,,47,8,inic
30235,5,2005,Longbeach,1491079,Unnamed water race Longbeach Road,690,night,Unnamed water race Longbeach Rd,,47,8,inic
30236,11,2004,Longbeach,1491079,Unnamed water race Longbeach Road,690,day,Unnamed water race Longbeach Rd,,0,0,inic
30237,11,2004,Longbeach,1491079,Unnamed water race Longbeach Road,690,day,Unnamed water race Longbeach Rd,,0,0,inic
30238,6,2006,Longbeach,1491079,Unnamed water race Longbeach Road,690, ,Unnamed water race Surveyors Rd, ,45,8,inic
30239,6,2006,Longbeach,1491080,Unnamed stream Eiffleton,690, ,Unnamed water race Eiffelton, ,49,9,inic
30240,6,2006,Longbeach,1491079,Unnamed water race Longbeach Road,690, ,Unnamed water race Eiffelton, ,48,9,inic
30241,2,2004,Lake Ellesmere,1491039,Hororata River tributary 5,683, ,Unnamed water race Dunsandel Rd, ,149,55,uoc
30242,11,2004,Ashburton River,1491068,Ashburton River tributary drain,688,day,Ashburton River tributary,,57,11,inic
30243,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,,South Branch Ashburton River tributary,,158,35,inic
30244,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688, ,South Branch Ashburton River tributary, ,158, ,inic
30245,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River wetland,,158,35,inic
30246,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River wetland,,157,35,inic
30247,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River wetland,,157,35,inic
30248,12,2006,Ashburton River,1491071,Ashburton River tributary 2 (Translocation),688,night,South Branch Ashburton River wetland,,158,35,inic
30249,11,2004,Waitaki River,1491131,Mount Harris Stream,711.01,day,Mt Harris Stream,,90,24,inic
30250,2,2006,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,,North Branch Hinds River wetland,,435,64,inic
30251,2,2006,Hinds River,1491092,Hinds River North Branch tributary wetland 2,691.01,night,North Branch Hinds River tributary,,430,63,inic
30253,3,2005,Avon River,1491029,Okeover Stream (Translocation),666,930,Okeover Stream (from captive population),,15,23,uoc
30254,6,2006,Longbeach,1491082,Unnamed drain Windermere Road,690, ,Unnamed drain Peatlands, ,59,13,inic
